"";"species_phylacine";"hedge";"ledge";"hed";"hedge_rank";"ledge_rank";"hed_rank";"ED";"ES";"QEbased";"X2Hbased";"termBL";"meanD";"Order.1.2";"Family.1.2";"Genus.1.2";"Species.1.2";"Terrestrial";"Marine";"Freshwater";"Aerial";"Life.Habit.Method";"Life.Habit.Source";"Mass.g";"Mass.Method";"Mass.Source";"Mass.Comparison";"Mass.Comparison.Source";"Island.Endemicity";"IUCN.Status.1.2";"Added.IUCN.Status.1.2";"Diet.Plant";"Diet.Vertebrate";"Diet.Invertebrate";"Diet.Method";"Diet.Source";"range_size";"species_currentIUCN"
"4154";"Prionodon_pardicolor";0,000545046375;10,900382453625;10,9009275;2209,5;311,5;365,5;20,5263253484048;23,6498443603516;0,000245986013490469;0,000315639731925289;10,9;93,0626101869319;"Carnivora";"Prionodontidae";"Prionodon";"pardicolor";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";512;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;70;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";3175517,65394528;"Prionodon pardicolor"
"2169";"Kogia_breviceps";0,00054452166625;10,8898888033338;10,890433325;2211,5;313,5;367,5;17,5215489512138;18,9041409301758;0,000175232211771265;0,000232453244783894;10,89;92,9741450866061;"Cetartiodactyla";"Physeteridae";"Kogia";"breviceps";0;1;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";431500;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Exclusively marine";"DD";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";266426862,402857;"Kogia breviceps"
"2170";"Kogia_sima";0,00054452166625;10,8898888033338;10,890433325;2211,5;313,5;367,5;17,5215489512138;18,9041409301758;0,000175232211761606;0,000232453244789984;10,89;92,9741450866061;"Cetartiodactyla";"Physeteridae";"Kogia";"sima";0;1;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";183066,7;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Exclusively marine";"DD";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";249999844,392419;"Kogia sima"
"4970";"Strigocuscus_pelengensis";0,000544387750551045;10,8872106232704;10,8877550110209;2213;315;369;12,9959540360288;14,8381137988281;0,000570825551200858;0,000637432274823226;10,887755;181,123036916481;"Diprotodontia";"Phalangeridae";"Strigocuscus";"pelengensis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";1103;"Reported";"Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994)";NA;NA;"Occurs only on isolated islands";"LC";"No";80;10;10;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";65186,5794065013;"Strigocuscus pelengensis"
"3342";"Neotetracus_sinensis";0,000544137198042913;10,8821998236602;10,8827439608583;2214;316;370;17,1634469715823;16,6985630957031;0,000473327021857057;0,000598010314035429;10,860935;94,7353929043046;"Eulipotyphla";"Erinaceidae";"Neotetracus";"sinensis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";86,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";568054,477685225;"Neotetracus sinensis"
"5404";"Vernaya_fulva";0,000542601721026085;10,8514918188007;10,8520344205217;2215;317;371;12,5575757051848;13,7679856911659;2,4816006228141e-06;3,48060643865591e-06;10,851885;76,6038228279883;"Rodentia";"Muridae";"Vernaya";"fulva";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";24,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";80;1;19;"Imputed 000 Species";"PHYLACINE 1.2";549429,740711939;"Vernaya fulva"
"2009";"Hodomys_alleni";0,000542365775;10,846773134225;10,8473155;2216;318;372;11,7742892239555;13,0628951323318;6,4761510903723e-06;9,08907706130991e-06;8,28184;77,1670785491339;"Rodentia";"Cricetidae";"Hodomys";"alleni";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";367,6;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";90;0;10;"Transformed 000 Genus";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";400431,844925651;"Hodomys alleni"
"33";"Acomys_louisae";0,0005416995;10,8334483005;10,83399;2217;319;373;11,294464321278;13,5729302224159;4,13357305243238e-06;5,8068082784078e-06;10,83399;77,1128757348654;"Rodentia";"Muridae";"Acomys";"louisae";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";20,2;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1015048,16504409;"Acomys louisae"
"5427";"Vormela_peregusna";0,568999000000025;10,8109810000005;11,3799800000005;701;320;330;13,1852438894849;14,4186893346882;2,16336310710488e-05;2,94812817035791e-05;11,37998;92,8789036108729;"Carnivora";"Mustelidae";"Vormela";"peregusna";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";450,4;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";0;100;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";10299479,5462272;"Vormela peregusna"
"1341";"Dipodomys_deserti";0,00053866675;10,77279633325;10,773335;2218;321;374;12,1808670536539;19,2662569384766;9,33930532375132e-05;0,000122325455922834;10,773335;87,1465930046304;"Rodentia";"Heteromyidae";"Dipodomys";"deserti";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";104,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";80;0;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";605303,951631797;"Dipodomys deserti"
"3871";"Petrodromus_tetradactylus";0,000538468306375001;10,7688276591936;10,7693661275;2219;322;375;18,9592087758298;22,86985890625;0,00152104451246171;0,00179651286040926;10,76916;106,819434668153;"Macroscelidea";"Macroscelididae";"Petrodromus";"tetradactylus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";187,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";4022943,18622979;"Petrodromus tetradactylus"
"1334";"Diplomesodon_pulchellum";0,00053691025;10,73766808975;10,738205;2220;323;376;11,19449265902;13,4218196554565;2,2466928702744e-05;2,90994773123348e-05;10,62729;91,9437416052135;"Eulipotyphla";"Soricidae";"Diplomesodon";"pulchellum";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";11;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;50;50;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";2309467,38468747;"Diplomesodon pulchellum"
"808";"Chrotopterus_auritus";0,00053569669;10,71339810331;10,7139338;2221;324;377;15,6893936572983;17,0323596770477;1,57993962992593e-05;2,22313397102794e-05;10,678655;89,5150613985594;"Chiroptera";"Phyllostomidae";"Chrotopterus";"auritus";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";77,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";30;40;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";14825290,6307357;"Chrotopterus auritus"
"308";"Asellia_patrizii";0,0005355939963125;10,7113443322537;10,71187992625;2222,5;325,5;378,5;17,785650009055;20,5748387207031;0,000109992314317053;0,000147214847093995;10,71107;90,968948240439;"Chiroptera";"Hipposideridae";"Asellia";"patrizii";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";6;"Assumed isometric based on forearm length";"Acta Chiropterologica 13: 245-270 (2011)";"Asellia_tridens";"Acta Chiropterologica 13: 245-270 (2011)";"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";391119,476439007;"Asellia patrizii"
"309";"Asellia_tridens";0,0005355939963125;10,7113443322537;10,71187992625;2222,5;325,5;378,5;17,785650009055;20,5748387207031;0,000109992314568595;0,000147214847095974;10,71107;90,968948240439;"Chiroptera";"Hipposideridae";"Asellia";"tridens";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";11,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";18997231,7127518;"Asellia tridens"
"3957";"Phyllomys_kerri";0,563724437671478;10,7107643157581;11,2744887534296;703;327;343;12,411300458716;11,7662466180274;4,20536433014547e-07;6,15677935230373e-07;11,19812;86,8177123966729;"Rodentia";"Echimyidae";"Phyllomys";"kerri";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";180;"Assumed isometric based on head-body length";"American Museum Novitates 3380: 1-40 (2002)";"Phyllomys_lamarum";"American Museum Novitates 3380: 1-40 (2002)";"Occurs on mainland";"DD";"No";100;0;0;"Estimated Expert Species";"Wilson, D. E., et al., editors. 2016. Handbook of the Mammals of the World: 6. Lagomorphs and Rodents I. First edition. Lynx Edicions, Barcelona.";37249,4739465721;"Phyllomys kerri"
