"";"species_phylacine";"hedge";"ledge";"hed";"hedge_rank";"ledge_rank";"hed_rank";"ED";"ES";"QEbased";"2Hbased";"termBL";"meanD";"Order.1.2";"Family.1.2";"Genus.1.2";"Species.1.2";"Terrestrial";"Marine";"Freshwater";"Aerial";"Life.Habit.Method";"Life.Habit.Source";"Mass.g";"Mass.Method";"Mass.Source";"Mass.Comparison";"Mass.Comparison.Source";"Island.Endemicity";"IUCN.Status.1.2";"Added.IUCN.Status.1.2";"Diet.Plant";"Diet.Vertebrate";"Diet.Invertebrate";"Diet.Method";"Diet.Source";"range_size";"species_currentIUCN"
"11";"Abrocoma_vaccarum";1,58681695212852;2,19131864817749;3,77813560030601;354;2567;1686;9,16119979871171;8,33329707349777;1,09168896040193e-05;1,51272587296176e-05;3,6776;86,9770893723204;"Rodentia";"Abrocomidae";"Abrocoma";"vaccarum";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";254,3;"Assumed isometric based on head-body length";"Journal of Mammalogy 83: 1-19 (2002)";"Abrocoma_cinerea";"Journal of Mammalogy 83: 1-19 (2002)";"Occurs on mainland";"DD";"No";100;0;0;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";9312,36848664304;"Abrocoma vaccarum"
"12";"Abrothrix_andinus";9,3986582733755e-05;1,87963766809237;1,8797316546751;3987;2886;3174;3,67994767998817;3,53733076554862;8,67059196627735e-08;1,24154314591261e-07;1,87971;76,5491531812725;"Rodentia";"Cricetidae";"Abrothrix";"andinus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";18;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;0;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";959173,954124233;"Abrothrix andinus"
"13";"Abrothrix_illutea";9,53244100898923e-05;1,90639287738776;1,90648820179785;3975;2866;3155;3,79531375996707;3,43050030299284;8,10963366668951e-08;1,16678090360614e-07;1,90647;76,5481661421712;"Rodentia";"Cricetidae";"Abrothrix";"illutea";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";47,8;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";44;1;55;"Imputed 000 Species";"PHYLACINE 1.2";111748,421839716;"Abrothrix illutea"
"14";"Abrothrix_jelskii";0,000102962753422932;2,05915210570521;2,05925506845864;3870;2702;2991;3,72471881772489;3,8507387798138;9,11501606735578e-08;1,3049147395905e-07;2,059255;76,5483399142514;"Rodentia";"Cricetidae";"Abrothrix";"jelskii";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";34,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;0;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";828800,79531123;"Abrothrix jelskii"
"15";"Abrothrix_lanosus";8,0850765152847e-05;1,61693445229179;1,61701530305694;4194;3193;3487;3,66228673398013;3,39322280299284;8,07229601338926e-08;1,16121681268948e-07;1,613385;76,548320728863;"Rodentia";"Cricetidae";"Abrothrix";"lanosus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";32,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";55;0;45;"Imputed 000 Species";"PHYLACINE 1.2";158310,264272932;"Abrothrix lanosus"
"16";"Abrothrix_longipilis";0,000159750858001165;3,1948574091653;3,1950171600233;3238;1765;2013;4,81868544441729;5,0121839924746;1,34496491496536e-07;1,94206928343285e-07;3,19244;76,550335485337;"Rodentia";"Cricetidae";"Abrothrix";"longipilis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";37,6;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";11;0;89;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";1080234,74445059;"Abrothrix longipilis"
"17";"Abrothrix_olivaceus";9,98944310397863e-05;1,99778872636469;1,99788862079572;3911;2762;3066;3,79531375996707;3,56630993188817;8,74799197929316e-08;1,2653975191111e-07;1,997845;76,5490414491511;"Rodentia";"Cricetidae";"Abrothrix";"olivaceus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";27;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";11;0;89;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";1648289,22213582;"Abrothrix olivaceus"
"18";"Abrothrix_sanborni";0,00701098880118062;1,74573621149398;1,75274720029516;1770;3027;3316;4,01077292419699;3,55230397685148;7,95897166000441e-08;1,13658119361718e-07;1,75261;76,5499006268222;"Rodentia";"Cricetidae";"Abrothrix";"sanborni";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";24,7;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"NT";"No";44;0;56;"Imputed 000 Species";"PHYLACINE 1.2";111748,421839716;"Abrothrix sanborni"
"19";"Acerodon_celebensis";0,10175154757275;1,93327940388225;2,035030951455;1200;2830;3019;3,54022527864378;3,56859245536804;6,85347046839372e-06;8,62518406074515e-06;1,74906;90,0762532601612;"Chiroptera";"Pteropodidae";"Acerodon";"celebensis";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";390;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"VU";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";549429,740711939;"Acerodon celebensis"
"20";"Acerodon_humilis";0,68071311484575;0,94003239669175;1,6207455115375;640;4230;3484;3,71692737820286;3,36520927642822;6,43196594367375e-06;8,13147418310681e-06;1,50873;90,075906424284;"Chiroptera";"Pteropodidae";"Acerodon";"humilis";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";599,6;"Assumed isometric based on forearm length";"Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994)";"Acerodon_celebensis";"Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994)";"Occurs only on isolated islands";"EN";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";18624,7369732861;"Acerodon humilis"
"21";"Acerodon_jubatus";0,78505820379525;1,08412799571725;1,8691861995125;592;3986;3185;3,56296130535613;3,52001311386108;6,4983838303033e-06;8,21652277444323e-06;1,73008;90,0758437111988;"Chiroptera";"Pteropodidae";"Acerodon";"jubatus";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";1075;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"EN";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";642553,42557837;"Acerodon jubatus"
"22";"Acerodon_leucotis";0,103821846373;1,972615081087;2,07643692746;1191;2785;2968;3,6710256218066;3,53575810966492;6,64395380526452e-06;8,39530530125015e-06;1,75788;90,0758472303207;"Chiroptera";"Pteropodidae";"Acerodon";"leucotis";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";513,2;"Assumed isometric based on forearm length";"Fieldiana Zoology 69: 1-44 (1992)";"Acerodon_jubatus";"Fieldiana Zoology 69: 1-44 (1992)";"Occurs only on isolated islands";"VU";"No";100;0;0;"Imputed 000 Species";"PHYLACINE 1.2";111748,421839716;"Acerodon leucotis"
"23";"Acerodon_mackloti";0,0812728942755;1,5441849912345;1,62545788551;1268;3284;3479;3,41610432658571;2,95848156482697;5,53574154042929e-06;7,0191310746665e-06;1,291135;90,0761104124507;"Chiroptera";"Pteropodidae";"Acerodon";"mackloti";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";470,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"VU";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";307308,16005922;"Acerodon mackloti"
"24";"Acinonyx_jubatus";0,237108750181138;4,50506625344162;4,74217500362276;957;1162;1243;6,19289685022163;6,07063257312775;1,3090828057534e-05;1,71320485083921e-05;4,742175;92,9099920553936;"Carnivora";"Felidae";"Acinonyx";"jubatus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";46700;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";0;100;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";8101760,58337944;"Acinonyx jubatus"
"25";"Acomys_airensis";3,46879871691494e-05;0,693725055395818;0,693759743382987;5121;4618;4925;2,32089917616353;1,37319485556115;1,23938967492959e-07;1,74969937706438e-07;0,693755;77,0945394906534;"Rodentia";"Muridae";"Acomys";"airensis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";48,3;"Assumed isometric based on head-body length";"Isreal Journal of Zoology 40: 215-246 (1994)";"Acomys_cahirinus";"Isreal Journal of Zoology 40: 215-246 (1994)";"Occurs on mainland";"LC";"No";0;0;100;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";2216343,69982104;"Acomys airensis"
"26";"Acomys_cahirinus";3,59394129590074e-05;0,71875231976719;0,718788259180149;5092;4578;4879;2,27296094868389;1,3384092095013;1,23987885687443e-07;1,76625073495486e-07;0,718785;77,0946642222603;"Rodentia";"Muridae";"Acomys";"cahirinus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";52,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";4972804,77186738;"Acomys cahirinus"
"27";"Acomys_cilicicus";0,218413639046363;0,301618834873549;0,520032473919912;978;5172;5166;2,18150498045433;1,20001573427083;1,22448979438086e-07;1,73629846157304e-07;0,520005;77,0946264045618;"Rodentia";"Muridae";"Acomys";"cilicicus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";42,5;"Reported";"Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)";NA;NA;"Occurs on mainland";"DD";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";9312,36848664304;"Acomys cilicicus"
"28";"Acomys_cineraceus";5,90263775875e-05;1,18046852537241;1,18052755175;4618,5;3837,5;4129,5;2,9335450718203;2,50442206337597;2,84950579501137e-07;4,04261746040799e-07;1,18048;77,0956309500943;"Rodentia";"Muridae";"Acomys";"cineraceus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";20,3;"Assumed isometric based on head-body length";"Proceedings of the Unites States National Museum 106: 447-583 (1959)";"Acomys_ignitus";"Mammals of Tanzania. archive.fieldmuseum.org";"Occurs on mainland";"LC";"No";0;0;100;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";1545853,16878274;"Acomys cineraceus"
"29";"Acomys_dimidiatus";2,79978815521082e-05;0,559929633160612;0,559957631042164;5251;4848;5128;2,1952295316226;1,29785903347949;1,22669008640254e-07;1,73955761763782e-07;0,559945;77,0945651140456;"Rodentia";"Muridae";"Acomys";"dimidiatus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";37,5;"Reported";"Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)";NA;NA;"Occurs on mainland";"LC";"No";80;0;20;"Transformed 000 Species";"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.";2514339,49139362;"Acomys dimidiatus"
"30";"Acomys_ignitus";0,000166413;3,328093587;3,32826;3185;1691;1932;4,30370889524157;4,66088755784631;6,7024761769991e-07;9,60549026091354e-07;3,32826;77,0965399614131;"Rodentia";"Muridae";"Acomys";"ignitus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";24;"Reported";"Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)";NA;NA;"Occurs on mainland";"LC";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";204872,106706147;"Acomys ignitus"
"31";"Acomys_johannis";5,90263775875e-05;1,18046852537241;1,18052755175;4618,5;3837,5;4129,5;2,9335450718203;2,50442206337597;2,84942918027333e-07;4,04261668107925e-07;1,18048;77,0956309500943;"Rodentia";"Muridae";"Acomys";"johannis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";18,5;"Assumed isometric based on head-body length";"Annals and Magazine of Natural History 8 9: 269-274 (1912)";"Acomys_ignitus";"Mammals of Tanzania. archive.fieldmuseum.org";"Occurs on mainland";"LC";"No";0;0;100;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";679802,899524942;"Acomys johannis"
"32";"Acomys_kempi";8,99791058961069e-05;1,79949213881624;1,79958211792214;4041;2962;3256;3,90378224948405;3,76018635179162;6,81164337284623e-07;9,57109748740864e-07;1,799515;77,1017401080432;"Rodentia";"Muridae";"Acomys";"kempi";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";22;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";847425,532284516;"Acomys kempi"
"33";"Acomys_louisae";0,0005416995;10,8334483005;10,83399;2217;319;373;11,294464321278;13,5729302224159;4,13357305243238e-06;5,8068082784078e-06;10,83399;77,1128757348654;"Rodentia";"Muridae";"Acomys";"louisae";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";20,2;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1015048,16504409;"Acomys louisae"
"34";"Acomys_minous";3,741387838275e-05;0,748240153776617;0,748277567655;5063;4532;4833;2,18993358157666;1,21128161555387;1,22424886654088e-07;1,73629826255247e-07;0,53046;77,0946264045618;"Rodentia";"Muridae";"Acomys";"minous";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";62,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"DD";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";55874,2109198582;"Acomys minous"
"35";"Acomys_mullah";7,19356569875014e-05;1,43864120409304;1,43871313975003;4345;3435;3730;3,48913827321815;3,23230599137597;5,1185683551548e-07;7,20797812628402e-07;1,43865;77,1024093560281;"Rodentia";"Muridae";"Acomys";"mullah";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";28,4;"Reported";"Global Ecology and Biogeography 18: 19-29 (2009)";NA;NA;"Occurs on mainland";"LC";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";325932,897032506;"Acomys mullah"
"36";"Acomys_nesiotes";4,916688119725e-05;0,983288457063803;0,983337623945;4835;4165;4467;2,39482841436824;1,73656340017512;1,7523258200785e-07;2,49169590558137e-07;0,98333;77,0946833810667;"Rodentia";"Muridae";"Acomys";"nesiotes";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";52,5;"Reported";"Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)";NA;NA;"Occurs only on isolated islands";"DD";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";55874,2109198582;"Acomys nesiotes"
"37";"Acomys_percivali";8,59462281410219e-05;1,7188386165923;1,71892456282044;4107;3051;3355;3,90378224948405;3,74068733220309;6,57463236921294e-07;9,32626356094514e-07;1,7189;77,1017401080432;"Rodentia";"Muridae";"Acomys";"percivali";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";22;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;30;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";400431,844925651;"Acomys percivali"
