"";"species";"HEDGE_rank";"HEDGE";"conservation_classification"
"4548";"Sylvilagus_transitionalis";1316;0,069949197;"5 Law & policy"
"2817";"Naemorhedus_caudatus";1317;0,06986115;"1 Land/water protection"
"2819";"Naemorhedus_caudatus";1317;0,06986115;"2 Land/water management"
"2820";"Naemorhedus_caudatus";1317;0,06986115;"3 Species management"
"2825";"Naemorhedus_caudatus";1317;0,06986115;"4 Education & awareness"
"2826";"Naemorhedus_caudatus";1317;0,06986115;"5 Law & policy"
"1007";"Cryptotis_peregrina";1318;0,069594208;"2 Land/water management"
"3797";"Pseudomys_oralis";1319;0,06937525;"1 Land/water protection"
"3798";"Pseudomys_oralis";1319;0,06937525;"2 Land/water management"
"3800";"Pseudomys_oralis";1319;0,06937525;"3 Species management"
"1001";"Cryptotis_griseoventris";1320;0,068862035;"2 Land/water management"
"1631";"Hipposideros_orbiculus";1321;0,068247004;"1 Land/water protection"
"1632";"Hipposideros_orbiculus";1321;0,068247004;"2 Land/water management"
"3377";"Petinomys_vordermanni";1322;0,067646013;"2 Land/water management"
"1020";"Ctenomys_fodax";1323;0,067558016;"None"
"4232";"Rusa_unicolor";1324;0,067405413;"1 Land/water protection"
"4234";"Rusa_unicolor";1324;0,067405413;"2 Land/water management"
"4235";"Rusa_unicolor";1324;0,067405413;"3 Species management"
"4238";"Rusa_unicolor";1324;0,067405413;"4 Education & awareness"
"4239";"Rusa_unicolor";1324;0,067405413;"5 Law & policy"
"4245";"Rusa_unicolor";1324;0,067405413;"6 Livelihood, economic & other incentives"
"1456";"Gerbillus_hoogstraali";1325;0,066942914;"2 Land/water management"
"1008";"Cryptotis_phillipsii";1326;0,066754304;"None"
"789";"Cerradomys_andersoni";1327;0,065905188;"None"
"1449";"Gerbillus_acticola";1328;0,065464595;"None"
"3556";"Plecotus_teneriffae";1329;0,064932928;"1 Land/water protection"
"1197";"Dobsonia_emersa";1330;0,064594827;"None"
"2740";"Myotis_bucharensis";1331;0,064360625;"None"
"1635";"Hipposideros_sorenseni";1332;0,064131532;"2 Land/water management"
"1352";"Eulemur_rufus";1333;0,064099179;"2 Land/water management"
"1353";"Eulemur_rufus";1333;0,064099179;"3 Species management"
"4214";"Rusa_marianna";1334;0,063997347;"1 Land/water protection"
"4215";"Rusa_marianna";1334;0,063997347;"2 Land/water management"
"4216";"Rusa_marianna";1334;0,063997347;"3 Species management"
"4219";"Rusa_marianna";1334;0,063997347;"4 Education & awareness"
"2335";"Marmosa_phaea";1335;0,063908352;"None"
"1607";"Hipposideros_crumeniferus";1336;0,06364995;"None"
"1009";"Cryptotis_tropicalis";1337;0,063481191;"None"
"3372";"Petinomys_genibarbis";1338;0,063252;"2 Land/water management"
"2528";"Mimon_koepckeae";1339;0,063214818;"None"
"760";"Cercopithecus_erythrogaster";1340;0,062907889;"1 Land/water protection"
"761";"Cercopithecus_erythrogaster";1340;0,062907889;"2 Land/water management"
"1135";"Dendrolagus_stellarum";1341;0,062338049;"None"
"2412";"Mazama_nana";1342;0,062315163;"1 Land/water protection"
"2413";"Mazama_nana";1342;0,062315163;"2 Land/water management"
"2414";"Mazama_nana";1342;0,062315163;"3 Species management"
"2417";"Mazama_nana";1342;0,062315163;"4 Education & awareness"
"2418";"Mazama_nana";1342;0,062315163;"5 Law & policy"
"4298";"Salpingotus_pallidus";1343;0,062311235;"None"
"4778";"Trachypithecus_laotum";1344;0,061810035;"None"
"790";"Cerradomys_marinhus";1345;0,061491783;"None"
"777";"Cercopithecus_sclateri";1346;0,061316494;"1 Land/water protection"
"779";"Cercopithecus_sclateri";1346;0,061316494;"2 Land/water management"
"781";"Cercopithecus_sclateri";1346;0,061316494;"4 Education & awareness"
"784";"Cercopithecus_sclateri";1346;0,061316494;"5 Law & policy"
"788";"Cercopithecus_sclateri";1346;0,061316494;"6 Livelihood, economic & other incentives"
