"";"species";"LEDGE_rank";"LEDGE";"conservation_classification";"introduced"
"200";"Arvicola_sapidus";1183;4,452849507;"5 Law & policy";"no"
"1745";"Paruromys_dominator";1184;4,451062436;"2 Land/water management";"no"
"2243";"Saxatilomys_paulinae";1185;4,450192524;"None";"no"
"909";"Herpestes_ichneumon";1186;4,448962541;"None";"no"
"1866";"Phocoena_phocoena";1187;4,448697559;"3 Species management";"no"
"1868";"Phocoena_phocoena";1187;4,448697559;"5 Law & policy";"no"
"854";"Glyphotes_simus";1188;4,44863898;"None";"no"
"2031";"Pseudantechinus_woolleyae";1189;4,448192579;"None";"no"
"421";"Chaerephon_pumilus";1190;4,445712073;"None";"no"
"2218";"Saccopteryx_bilineata";1191;4,443395776;"2 Land/water management";"no"
"32";"Acomys_russatus";1192;4,439508014;"None";"no"
"2192";"Rousettus_lanosus";1193;4,43817808;"2 Land/water management";"no"
"927";"Hipposideros_camerunensis";1194;4,430997798;"1 Land/water protection";"no"
"928";"Hipposideros_camerunensis";1194;4,430997798;"2 Land/water management";"no"
"2758";"Ziphius_cavirostris";1195;4,429853496;"None";"no"
"1743";"Parotomys_brantsii";1196,5;4,412535699;"None";"no"
"1744";"Parotomys_littledalei";1196,5;4,412535699;"None";"no"
"1929";"Podogymnura_truei";1198;4,405457413;"2 Land/water management";"no"
"2025";"Protochromys_fellowsi";1199;4,400259978;"None";"no"
"756";"Eptesicus_bottae";1200;4,400146232;"None";"no"
"831";"Genetta_victoriae";1201;4,385895696;"None";"no"
"2398";"Suricata_suricatta";1202;4,381970891;"None";"no"
"2284";"Sigmodon_fulviventer";1203;4,380953671;"None";"no"
"2285";"Sigmodon_leucotis";1204;4,380279205;"None";"no"
"938";"Hipposideros_speoris";1205;4,378393076;"None";"no"
"1801";"Peromyscus_polius";1206;4,37405352;"None";"no"
"1633";"Onychomys_torridus";1207;4,373226981;"None";"no"
"981";"Hystrix_africaeaustralis";1208,5;4,361632873;"None";"no"
"984";"Hystrix_cristata";1208,5;4,361632873;"None";"no"
"2355";"Sorex_trowbridgii";1210;4,359553216;"None";"no"
"2280";"Sicista_caudata";1211;4,356260448;"None";"no"
"1057";"Lama_guanicoe";1212,5;4,353172755;"1 Land/water protection";"no"
"1059";"Lama_guanicoe";1212,5;4,353172755;"2 Land/water management";"no"
"1061";"Lama_guanicoe";1212,5;4,353172755;"3 Species management";"no"
"1065";"Lama_guanicoe";1212,5;4,353172755;"4 Education & awareness";"no"
"1068";"Lama_guanicoe";1212,5;4,353172755;"5 Law & policy";"no"
"2707";"Vicugna_vicugna";1212,5;4,353172755;"1 Land/water protection";"yes"
"2709";"Vicugna_vicugna";1212,5;4,353172755;"2 Land/water management";"yes"
"2711";"Vicugna_vicugna";1212,5;4,353172755;"3 Species management";"yes"
"2716";"Vicugna_vicugna";1212,5;4,353172755;"4 Education & awareness";"yes"
"2719";"Vicugna_vicugna";1212,5;4,353172755;"5 Law & policy";"yes"
"2727";"Vicugna_vicugna";1212,5;4,353172755;"6 Livelihood, economic & other incentives";"yes"
"1140";"Lonchorhina_inusitata";1214;4,350760969;"1 Land/water protection";"no"
"1141";"Lonchorhina_inusitata";1214;4,350760969;"2 Land/water management";"no"
"162";"Apodemus_argenteus";1215;4,349233812;"None";"no"
"1415";"Myosorex_longicaudatus";1216;4,348198168;"2 Land/water management";"no"
"323";"Calomyscus_urartensis";1217;4,346557662;"None";"no"
"1015";"Isoodon_obesulus";1218;4,34633632;"2 Land/water management";"no"
"2102";"Rattus_satarae";1219;4,342894229;"1 Land/water protection";"no"
"2103";"Rattus_satarae";1219;4,342894229;"2 Land/water management";"no"
"501";"Chrysochloris_asiatica";1220;4,33343912;"2 Land/water management";"no"
"1459";"Myotis_yumanensis";1221;4,324715224;"1 Land/water protection";"no"
"302";"Caenolestes_caniventer";1222;4,321991403;"None";"no"
"567";"Ctenomys_minutus";1223;4,310056251;"1 Land/water protection";"no"
"1317";"Mirza_coquereli";1224,5;4,307533711;"None";"no"
"1318";"Mirza_zaza";1224,5;4,307533711;"2 Land/water management";"no"
"164";"Apodemus_speciosus";1226;4,306014689;"None";"no"
"1316";"Miniopterus_tristis";1227;4,303914801;"None";"no"
"1911";"Planigale_tenuirostris";1228;4,303104439;"None";"no"
"774";"Eulemur_coronatus";1229;4,302822837;"2 Land/water management";"no"
"775";"Eulemur_coronatus";1229;4,302822837;"3 Species management";"no"
"777";"Eulemur_coronatus";1229;4,302822837;"4 Education & awareness";"no"
"2736";"Wiedomys_pyrrhorhinos";1230;4,296572431;"None";"no"
"2077";"Pteropus_personatus";1231;4,295905194;"None";"no"
"2235";"Saimiri_ustus";1232;4,294562623;"2 Land/water management";"no"
"1494";"Nasalis_larvatus";1233;4,289502674;"1 Land/water protection";"no"
"1495";"Nasalis_larvatus";1233;4,289502674;"2 Land/water management";"no"
"1496";"Nasalis_larvatus";1233;4,289502674;"3 Species management";"no"
"1499";"Nasalis_larvatus";1233;4,289502674;"4 Education & awareness";"no"
"1502";"Nasalis_larvatus";1233;4,289502674;"5 Law & policy";"no"
"2187";"Rousettus_aegyptiacus";1234;4,287231028;"None";"no"
"751";"Eothenomys_custos";1235;4,28718063;"None";"no"
