"";"species";"order";"family";"IUCN_status_real";"IUCN_status_imputed";"GE";"ED";"ED_rank";"EDGE";"EDGE_rank";"HEDGE";"HEDGE_rank";"LEDGE";"LEDGE_rank"
"1578";"Eupetaurus_cinereus";"Rodentia";"Sciuridae";"EN";"EN";3;5,59142052257297;2374;3,96521042425995;553;1,28032800166209;431;1,76807200229526;2985
"1579";"Euphractus_sexcinctus";"Cingulata";"CingulataFam";"LC";"LC";0;13,120313515962;540;2,64761443549863;1926;0,000388886750009766;2366;7,7773461134453;529
"1580";"Eupleres_goudotii";"Carnivora";"Eupleridae";"VU";"VU";2;11,5811229001165;681,5;3,91849186914926;590;0,400626838504248;798;7,61190993158072;547
"1581";"Eupleres_major";"Carnivora";"Eupleridae";"EN";"EN";3;11,5811229001165;681,5;4,61163904970921;191;2,50718509650425;203;3,46230322850587;1615
"1582";"Euroscaptor_grandis";"Eulipotyphla";"Talpidae";"LC";"LC";0;6,27923686989623;2052;1,98502603115031;3217;9,17604595751852e-05;4020;1,83511743104413;2929
"1583";"Euroscaptor_klossi";"Eulipotyphla";"Talpidae";"LC";"LC";0;5,92082094788108;2221;1,93453439667997;3347;7,54216310667488e-05;4286;1,50835719970391;3335
"1584";"Euroscaptor_longirostris";"Eulipotyphla";"Talpidae";"LC";"LC";0;5,66896892994862;2330;1,89746526476222;3418;4,00560000001456e-05;4994;0,801079944002912;4427
"1585";"Euroscaptor_micrura";"Eulipotyphla";"Talpidae";"LC";"LC";0;6,29164571404739;2046;1,98672927006937;3213;7,65889605502647e-05;4263;1,53170262204474;3303
"1586";"Euroscaptor_mizura";"Eulipotyphla";"Talpidae";"LC";"LC";0;11,228043367944;734;2,50373195063205;2143;0,00033186964275;2471;6,63706098535725;686
"1587";"Euroscaptor_parvidens";"Eulipotyphla";"Talpidae";"DD";"LC";0;6,68923589156918;1881;2,03982141467545;3109;0,000101205233496;3893;2,0240034646865;2736
"1588";"Euroscaptor_subanura";"Eulipotyphla";"Talpidae";"DD";"NT";1;6,77608283062184;1843;2,74419989974749;1758;0,00625681865615063;1784;1,55794784538151;3263
"1589";"Euryoryzomys_emmonsae";"Rodentia";"Cricetidae";"DD";"LC";0;3,06283744315836;4193;1,40188160713761;4652;8,64711404125e-05;4094;1,72933633710959;3037
"1590";"Euryoryzomys_lamia";"Rodentia";"Cricetidae";"EN";"EN";3;2,36260715786185;4794;3,2921581546091;1133;0,363936287464465;827;0,502578682689023;4916
"1591";"Euryoryzomys_legatus";"Rodentia";"Cricetidae";"LC";"LC";0;2,33310420369311;4812;1,20390406307124;5037;4,22544337245695e-05;4943;0,845046420057666;4347
"1592";"Euryoryzomys_macconnelli";"Rodentia";"Cricetidae";"LC";"LC";0;3,14136670985275;4126;1,4210258565114;4617;8,71383346375e-05;4088;1,74267955441536;3029
"1593";"Euryoryzomys_nitidus";"Rodentia";"Cricetidae";"LC";"LC";0;2,25160016723112;4883;1,17914723432069;5091;5,59117144645916e-05;4693;1,11817837757737;3943
"1594";"Euryoryzomys_russatus";"Rodentia";"Cricetidae";"LC";"LC";0;2,95800567403552;4266;1,37574028074062;4695;8,3290284540752e-05;4156;1,6657224005305;3131
"1595";"Euryzygomatomys_spinosus";"Rodentia";"Echimyidae";"LC";"LC";0;18,6022479265792;180,5;2,97564424979165;1447,5;0,000787665747725;2050,5;15,7525272887523;106,5
"1596";"Eutamias_sibiricus";"Rodentia";"Sciuridae";"LC";"LC";0;14,2909730064358;403;2,72726265470079;1793;0,00068787325;2080;13,75677712675;146
"1597";"Exilisciurus_concinnus";"Rodentia";"Sciuridae";"LC";"LC";0;15,7704381261205;272;2,81961770108243;1642;0,00054926066940679;2202;10,9846641274664;302
"1598";"Exilisciurus_exilis";"Rodentia";"Sciuridae";"DD";"LC";0;14,6072947985949;357;2,74773842025208;1748;0,000434940816516802;2310;8,69838138951952;449
"1599";"Exilisciurus_whiteheadi";"Rodentia";"Sciuridae";"LC";"LC";0;13,4280941293635;501;2,66917728709566;1896;0,000315262502121653;2519;6,30493477993094;748
