"";"median_ED";"sd_ED";"median_ES";"sd_ES";"median_QEbased";"sd_QEbased";"median_2Hbased";"sd_2Hbased";"median_termBL";"sd_termBL";"median_meanD";"sd_meanD"
"Strigocuscus_pelengensis";12,9959540360288;1,90276387285798;14,8381137988281;2,01222057365575;0,000570825551200858;0,000140866212225872;0,000637432274823226;0,000156027913300285;10,887755;2,08212333429523;181,123036916481;0,00603555727850896
"Strigocuscus_celebensis";11,2711970059536;1,86049752262644;15,4991175976562;1,41682728057928;0,000709424304570313;0,000159965345659038;0,000787752023702516;0,000177341531879197;6,772125;2,61290418134555;181,130228794375;0,00547052793300681
"Ailurops_ursinus";9,4783560968627;1,58816596506699;9,33031567382812;1,70255136660208;0,000495308724180965;0,000104833223235976;0,000551710451542237;0,000117012779405361;3,31369;2,41107760220699;181,12966942377;0,00538537730781697
"Ailurops_melanotis";9,4783560968627;1,58816596506699;9,33031567382812;1,70255136660208;0,000495308722251768;0,00010483322767836;0,000551710451489704;0,000117012780082777;3,31369;2,41107760220699;181,12966942377;0,00538537730781697
"Trichosurus_caninus";8,99704776352937;1,4968183693373;8,63372442382812;2,77920290078059;0,000504362846134444;0,000153144032657329;0,000563193786359591;0,000170041910963228;2,619895;2,06212647544849;181,136220629395;0,00115003571650146
"Trichosurus_vulpecula";9,00693818019603;1,63987012958527;9,06444004882812;2,97015884576974;0,000507318613331437;0,00014360035054348;0,000566170760051568;0,000159460306088413;2,58992;2,29719279116199;181,136457572458;0,00120070528155508
"Trichosurus_cunninghami";8,7346660968627;2,13390325483738;8,57142567382812;3,66260486867676;0,000503095035434482;0,000180270809541234;0,000558084878141586;0,000200991381130959;2,5447;3,16821787709107;181,136220629395;0,00136789779486269
"Wyulda_squamicaudata";13,035926930196;2,35540810289487;21,3618801953125;1,57027206859658;0,00110159229970664;0,000186102334899607;0,00122030902614641;0,000205601705440194;9,46461;3,14054413719315;181,138184501801;0,00161578329815855
"Procoptodon_goliah";4,34132173652827;1,17148943400884;2,71777582183838;1,31297002688076;4,93461965846653e-05;2,32540322180929e-05;5,63185473592762e-05;2,67230883392474e-05;0,944735;1,24448910762695;180,66105715229;0,00276661561933179
"Procoptodon_gilli";4,34132173652827;1,17148943400884;2,71777582183838;1,31297002688076;4,93461953824593e-05;2,32540340595151e-05;5,63185467871754e-05;2,67230896209945e-05;0,944735;1,24448910762695;180,66105715229;0,00276661561933179
"Procoptodon_browneorum";4,9018165655326;1,39631906508717;4,20866179992676;1,57299135563482;7,21541054461881e-05;2,97777422967569e-05;8,21574838217862e-05;3,41124101519018e-05;2,109145;1,57576258657371;180,661160578803;0,00283048462410624
"Simosthenurus_occidentalis";4,87803327548931;1,40503176614852;3,93115586242676;1,54501523675845;7,38675503931322e-05;3,12702815546408e-05;8,37770948538905e-05;3,57974217727216e-05;1,939295;1,5198404834668;180,661515465615;0,00290799453289999
"Simosthenurus_maddocki";4,87803327548931;1,40503176614852;3,93115586242676;1,54501523675845;7,38675514104404e-05;3,12702817025327e-05;8,37770943760081e-05;3,57974220593923e-05;1,939295;1,5198404834668;180,661515465615;0,00290799453289999
"Simosthenurus_pales";7,37950629064082;2,19101200564544;9,02829407470703;1,89963742281469;0,000165574931190487;7,35933054205416e-05;0,000188181613008952;8,36330996565736e-05;5,59606;2,51210945639176;180,663041106157;0,00352048426142289
"Metasthenurus_newtonae";8,99442034908238;2,15948152425273;12,2363518994141;1,64957269431391;0,000232840056295477;9,18723660311422e-05;0,00026428277222292;0,000103865413409614;7,47516;2,42369089638035;180,66464788887;0,00372633406503658
"Sthenurus_stirlingi";5,98308822787026;1,6031290070413;4,94145078735352;1,74982283083593;0,000117233296279291;4,15860101509385e-05;0,000133081296919793;4,75019348155243e-05;1,860905;1,84423676506603;180,664548944435;0,00336688775035031
"Sthenurus_tindalei";5,98308822787026;1,6031290070413;4,94145078735352;1,74982283083593;0,00011723329508969;4,15860095218176e-05;0,000133081296446167;4,75019350576195e-05;1,860905;1,84423676506603;180,664548944435;0,00336688775035031
"Sthenurus_atlas";7,24808697787026;1,9880942103199;7,97946969970703;1,94595862030343;0,000167579683622209;5,70585285971281e-05;0,000190080178675949;6,48604939043594e-05;4,318125;2,44891172640342;180,665123538844;0,00345769281429277
"Sthenurus_andersoni";8,76637603090056;2,29624691570591;11,5987731494141;1,75505713568453;0,00024426122824635;8,28695973555185e-05;0,000276838439772358;9,36514684498865e-05;6,78431;2,78149824957535;180,665682146287;0,00366296690228521
"Lagostrophus_fasciatus";10,1871522695369;1,84568126935543;12,2918056494141;1,61146225843715;0,000297874234239013;7,98649284636576e-05;0,000337636687741233;9,02292328166497e-05;7,016705;3,04283634576173;180,658216456011;0,0170577174800126
"Troposodon_minor";10,1260502695369;1,97377676352355;12,0897506494141;1,83726112009476;0,000296676875379394;8,50977308349329e-05;0,000335606292785559;9,61139822050785e-05;6,8937;3,04659442440617;180,658216456011;0,0171338480504646
"Onychogalea_fraenata";7,66601903235744;2,2670851998732;8,28775016235351;2,72037437050945;0,000134156689165072;6,79002357460638e-05;0,000152714174050682;7,68607660837689e-05;4,910505;3,10168656548427;180,630095534214;0,0241691929432857
"Onychogalea_lunata";6,87088747845301;1,62772951155254;6,47430027801514;1,66242425407042;0,000112667697142378;4,68295229900045e-05;0,00012831712714727;5,3147854558661e-05;2,99886;1,99898689021451;180,630095534214;0,0240539973490353
"Onychogalea_unguifera";7,48908383524205;1,79469504131099;8,12508907470703;2,05115676546746;0,000125480820326789;6,48480779823172e-05;0,000143154806956929;7,32664240574683e-05;4,40706;2,38843953094186;180,631151056423;0,0240571703444677
"Macropus_irma";3,52829002447812;1,34097037889378;3,12194227069855;1,54084129395249;1,19769031805662e-05;1,12085980022689e-05;1,37727779758204e-05;1,28426549501768e-05;2,13521;1,41482115046177;180,600726290516;0,0230137371138961
"Macropus_rufogriseus";3,03229810925296;1,04913602960392;2,43633159614086;1,1847830387498;7,80158356291361e-06;6,54734564256044e-06;8,95573692993979e-06;7,54520110214251e-06;1,65506;1,07021205978011;180,600588711199;0,0228255744797647
"Macropus_eugenii";2,38363576686841;0,780590077764845;1,19260972398639;0,835987132751682;3,61793279326207e-06;3,14656618551247e-06;4,17735810083441e-06;3,62895259804189e-06;0,584885;0,745662619720693;180,599816662665;0,0226792880802227
"Macropus_agilis";2,41799145852318;0,778456016072009;1,25248234072208;0,808793874238368;3,64447342512363e-06;3,13731181805618e-06;4,20122689354473e-06;3,61890850939671e-06;0,670295;0,742391797915026;180,599816662665;0,0226790878018538
"Macropus_parryi";2,40205566149376;0,701786875664964;1,33344105043888;0,740114823450622;3,55014898353619e-06;2,3761470022303e-06;4,11239258795722e-06;2,74643447696409e-06;0,7449;0,644425698337377;180,599667879438;0,0226393673700475
"Macropus_greyi";2,38363576686841;0,704413430620594;1,12272981890798;0,839246881313177;3,1954375281448e-06;3,4273955182604e-06;3,68742640162936e-06;3,93962151802571e-06;0,489665;0,655172507320628;180,600726290516;0,0225613367334301
"Macropus_parma";2,28523240646608;0,600955560633621;0,882289472973347;0,596857510297569;2,5847289294798e-06;1,96299991105341e-06;3,00233762995782e-06;2,26860393067635e-06;0,411635;0,489777864088931;180,59963636083;0,0226153053320818
"Macropus_dorsalis";2,2684436282149;0,572885509967442;0,856184234936237;0,552802900732892;2,56780896471407e-06;1,75569735922362e-06;2,9727907958401e-06;2,02834211684015e-06;0,411635;0,44031703198889;180,59963636083;0,0226075152111129
"Wallabia_bicolor";4,05561541205407;1,54657344249796;3,59236813261032;1,58885802569511;1,75427313617539e-05;1,26418964825031e-05;2,01175346082057e-05;1,45135155134067e-05;1,985315;1,53418148183861;180,602215687704;0,0237334896492035
"Wallabia_kitcheneri";4,05561541205407;1,54657344249796;3,59236813261032;1,58885802569511;1,75427522610576e-05;1,26418932457261e-05;2,01175342291717e-05;1,45135159450256e-05;1,985315;1,53418148183861;180,602215687704;0,0237334896492035
"Macropus_antilopinus";3,00391632231748;0,980287340588648;1,69944289804459;0,996727156967266;8,41799172697633e-06;5,71581864751848e-06;9,68139449444353e-06;6,58147967119347e-06;0,755895;0,846583124596084;180,601775078031;0,0232478955180483
"Macropus_robustus";3,00391632231748;0,980287340588648;1,69944289804459;0,996727156967266;8,41798391017996e-06;5,71583231432269e-06;9,681391549619e-06;6,58148078712504e-06;0,755895;0,846583124596084;180,601775078031;0,0232478955180483
"Macropus_rufus";3,24366136452114;1,27008260935318;2,67670431044579;1,34616150553978;1,02809310495e-05;9,02055134864564e-06;1,18369751396824e-05;1,03658523050132e-05;1,248545;1,30941218389668;180,601817829703;0,0232960435612989
"Macropus_bernardus";4,11388326450916;1,47243710224259;3,87898961521149;1,59529717838329;1,67023558076781e-05;1,21507663045572e-05;1,93176209439043e-05;1,39481247059378e-05;2,493845;1,51235931173451;180,602252201166;0,0233885989348704
"Macropus_giganteus";4,28273131608896;1,66228097891229;3,58891536170959;1,81225522266687;2,03306837771083e-05;1,63741280576442e-05;2,33476418094583e-05;1,87659867645992e-05;2,216785;1,76890646509118;180,604345817184;0,0239732718427977
"Macropus_ferragus";4,26969816722839;1,73952411028178;3,70560894100189;1,88973390976403;2,15043609007791e-05;1,67329096459184e-05;2,46499743460961e-05;1,91841646379572e-05;2,13512;1,85633514987206;180,604664954553;0,0240506864359736
"Macropus_fuliginosus";4,16131317685117;1,73027570602858;3,62741133827209;1,97824562555047;1,88940035068995e-05;1,66492859158213e-05;2,18430848020851e-05;1,91006550768043e-05;1,945025;1,89297677214237;180,604625574516;0,0239906812007584
