"";"species";"range_size"
"246";"Apodemus_hyrcanicus";223496,843679433
"247";"Apodemus_latronum";875362,637744445
"248";"Apodemus_mystacinus";1247857,37721017
"249";"Apodemus_pallipes";1182670,79780367
"250";"Apodemus_peninsulae";11212091,6579182
"251";"Apodemus_ponticus";558742,109198582
"252";"Apodemus_rusiges";288683,423085934
"253";"Apodemus_semotus";93123,6848664304
"254";"Apodemus_speciosus";903299,743204375
"255";"Apodemus_sylvaticus";7291584,5250415
"256";"Apodemus_uralensis";9032997,43204374
"257";"Apodemus_witherbyi";2365341,59560733
"258";"Apomys_abrae";65186,5794065013
"259";"Apomys_camiguinensis";9312,36848664304
"260";"Apomys_datae";65186,5794065013
"261";"Apomys_gracilirostris";18624,7369732861
"262";"Apomys_hylocetes";37249,4739465721
"263";"Apomys_insignis";232809,212166076
"264";"Apomys_littoralis";55874,2109198582
"265";"Apomys_microdon";242121,580652719
"266";"Apomys_musculus";242121,580652719
"267";"Apomys_sacobianus";9312,36848664304
"268";"Aproteles_bulmerae";18624,7369732861
"269";"Arabitragus_jayakari";139685,527299646
"270";"Arborimus_albipes";176935,001246218
"271";"Arborimus_longicaudus";148997,895786289
"272";"Arborimus_pomo";93123,6848664304
"273";"Archaeoindris_fontoynonti";0
"274";"Archaeolemur_edwardsi";0
"275";"Archaeolemur_majori";0
"276";"Archboldomys_luzonensis";9312,36848664304
"277";"Arctictis_binturong";4563060,55845509
"278";"Arctocebus_aureus";893987,374717731
"279";"Arctocebus_calabarensis";260746,317626005
"280";"Arctocephalus_australis";3110331,07453877
"281";"Arctocephalus_forsteri";13065252,9867602
"282";"Arctocephalus_galapagoensis";214184,47519279
"283";"Arctocephalus_gazella";16091772,7449192
"284";"Arctocephalus_philippii";4320938,97780237
"285";"Arctocephalus_pusillus";2095282,90949468
"286";"Arctocephalus_townsendi";1722788,17002896
"287";"Arctocephalus_tropicalis";15346783,2659877
"288";"Arctodus_simus";0
"289";"Arctogalidia_trivirgata";4125379,23958286
"290";"Arctonyx_albogularis";5047303,71976053
"291";"Arctonyx_collaris";2356029,22712069
"292";"Arctonyx_hoevenii";335245,265519149
"293";"Arctotherium_tarijense";0
"294";"Arctotherium_wingei";0
"295";"Ardops_nichollsi";102436,053353073
"296";"Arielulus_aureocollaris";55874,2109198582
"297";"Arielulus_circumdatus";558742,109198582
"298";"Arielulus_cuprosus";111748,421839716
