;species_phylacine;hedge;ledge;hed;hedge_rank;ledge_rank;hed_rank;ED;ES;QEbased;X2Hbased;termBL;meanD;Order.1.2;Family.1.2;Genus.1.2;Species.1.2;Terrestrial;Marine;Freshwater;Aerial;Life.Habit.Method;Life.Habit.Source;Mass.g;Mass.Method;Mass.Source;Mass.Comparison;Mass.Comparison.Source;Island.Endemicity;IUCN.Status.1.2;Added.IUCN.Status.1.2;Diet.Plant;Diet.Vertebrate;Diet.Invertebrate;Diet.Method;Diet.Source;range_size;species_currentIUCN.x;species_currentIUCN.y;code;title;conservation_classification;Imputed.Status;introduced
2685;Tupaia_tana;0,000234662;4,693010338;4,693245;2759;1092;1262;9,867203639;6,561735604;0,000103874;0,000127738;4,693245;94,18132313;Scandentia;Tupaiidae;Tupaia;tana;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;197,8;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on large land bridge islands;LC;No;10;0;90;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;1629664,485;Tupaia tana;Tupaia tana;2.1;Site/area management;2 Land/water management;LC;no
2686;Tylomys_nudicaudus;0,000201052;4,020847033;4,021048085;2945;1344;1542;6,587185947;6,352064972;1,61E-06;2,27E-06;3,17069;76,91090894;Rodentia;Cricetidae;Tylomys;nudicaudus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;100;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;791551,3214;Tylomys nudicaudus;Tylomys nudicaudus;none;none;None;LC;no
2687;Tylonycteris_pachypus;0,000210989;4,219569274;4,219780263;2877;1258;1444;6,987084954;7,960749664;9,98E-07;1,47E-06;4,21978;88,42312473;Chiroptera;Vespertilionidae;Tylonycteris;pachypus;0;0;0;1;Taxonomic;PHYLACINE 1.2;3,6;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;6472096,098;Tylonycteris pachypus;Tylonycteris pachypus;2.1;Site/area management;2 Land/water management;LC;no
2688;Tympanoctomys_barrerae;0,028194569;7,020447765;7,048642334;1518;625;713;9,395789329;9,805338726;6,77E-06;9,49E-06;5,25153;86,88643122;Rodentia;Octodontidae;Tympanoctomys;barrerae;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;70;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;NT;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;446993,6874;Tympanoctomys barrerae;Tympanoctomys barrerae;1.1;Site/area protection;1 Land/water protection;NT;no
2689;Tympanoctomys_barrerae;0,028194569;7,020447765;7,048642334;1518;625;713;9,395789329;9,805338726;6,77E-06;9,49E-06;5,25153;86,88643122;Rodentia;Octodontidae;Tympanoctomys;barrerae;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;70;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;NT;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;446993,6874;Tympanoctomys barrerae;Tympanoctomys barrerae;2.1;Site/area management;2 Land/water management;NT;no
2690;Tympanoctomys_kirchnerorum;0,327051717;6,213982622;6,541034338;853;758;795;8,933646282;8,587171076;6,06E-06;8,48E-06;4,66819;86,88501237;Rodentia;Octodontidae;Tympanoctomys;kirchnerorum;1;0;0;0;Imputed;PHYLACINE 1.2;65;Reported;Wilson, D. E., et al., editors. 2016. Handbook of the Mammals of the World: 6. Lagomorphs and Rodents I. First edition. Lynx Edicions, Barcelona.;NA;NA;Occurs on mainland;DD;No;100;0;0;Estimated Expert Species;Wilson, D. E., et al., editors. 2016. Handbook of the Mammals of the World: 6. Lagomorphs and Rodents I. First edition. Lynx Edicions, Barcelona.;37249,47395;Tympanoctomys kirchnerorum;Tympanoctomys kirchnerorum;none;none;None;VU;no
2691;Typhlomys_cinereus;0,001277538;25,54948521;25,55076275;1984;35;41;36,96300531;39,76329638;0,000479608;0,000628577;24,287645;83,56106459;Rodentia;Platacanthomyidae;Typhlomys;cinereus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;24,5;Reported;Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008);NA;NA;Occurs on mainland;LC;No;100;0;0;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;1489978,958;Typhlomys cinereus;Typhlomys cinereus;none;none;None;LC;no
2692;Uranomys_ruddi;0,000812017;16,23951798;16,24033;2043;100;117;16,43620852;19,21367415;1,06E-05;1,47E-05;16,24033;77,14174677;Rodentia;Muridae;Uranomys;ruddi;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;40,4;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;5047303,72;Uranomys ruddi;Uranomys ruddi;none;none;None;LC;no
2693;Urocyon_cinereoargenteus;0,000376814;7,535893886;7,5362707;2388;561;640;11,84386613;17,72156936;0,000218102;0,000272761;7,501075;93,11319288;Carnivora;Canidae;Urocyon;cinereoargenteus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;3833,7;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;60;30;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;11258653,5;Urocyon cinereoargenteus;Urocyon cinereoargenteus;2.1;Site/area management;2 Land/water management;LC;no
2694;Urocyon_littoralis;0,03000606;7,471508886;7,501514946;1506;568;648;11,84386613;17,72156936;0,000218102;0,000272761;7,501075;93,11319288;Carnivora;Canidae;Urocyon;littoralis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;1896;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;NT;No;60;30;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;46561,84243;Urocyon littoralis;Urocyon littoralis;2.1;Site/area management;2 Land/water management;NT;no
