;species_phylacine;hedge;ledge;hed;hedge_rank;ledge_rank;hed_rank;ED;ES;QEbased;X2Hbased;termBL;meanD;Order.1.2;Family.1.2;Genus.1.2;Species.1.2;Terrestrial;Marine;Freshwater;Aerial;Life.Habit.Method;Life.Habit.Source;Mass.g;Mass.Method;Mass.Source;Mass.Comparison;Mass.Comparison.Source;Island.Endemicity;IUCN.Status.1.2;Added.IUCN.Status.1.2;Diet.Plant;Diet.Vertebrate;Diet.Invertebrate;Diet.Method;Diet.Source;range_size;species_currentIUCN.x;code;title;species_currentIUCN.y;conservation_classification;Imputed.Status;introduced
21;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;5.1.3;Sub-national level;Acerodon jubatus;5 Law & policy;EN;no
22;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;5.4;Compliance and enforcement;Acerodon jubatus;5 Law & policy;EN;no
23;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;5.4.2;National level;Acerodon jubatus;5 Law & policy;EN;no
24;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;5.4.3;Sub-national level;Acerodon jubatus;5 Law & policy;EN;no
25;Acerodon_leucotis;0,103821846;1,972615081;2,076436927;1191;2785;2968;3,671025622;3,53575811;6,64E-06;8,40E-06;1,75788;90,07584723;Chiroptera;Pteropodidae;Acerodon;leucotis;0;0;0;1;Taxonomic;PHYLACINE 1.2;513,2;Assumed isometric based on forearm length;Fieldiana Zoology 69: 1-44 (1992);Acerodon_jubatus;Fieldiana Zoology 69: 1-44 (1992);Occurs only on isolated islands;VU;No;100;0;0;Imputed 000 Species;PHYLACINE 1.2;111748,4218;Acerodon leucotis;1.1;Site/area protection;Acerodon leucotis;1 Land/water protection;VU;no
26;Acerodon_leucotis;0,103821846;1,972615081;2,076436927;1191;2785;2968;3,671025622;3,53575811;6,64E-06;8,40E-06;1,75788;90,07584723;Chiroptera;Pteropodidae;Acerodon;leucotis;0;0;0;1;Taxonomic;PHYLACINE 1.2;513,2;Assumed isometric based on forearm length;Fieldiana Zoology 69: 1-44 (1992);Acerodon_jubatus;Fieldiana Zoology 69: 1-44 (1992);Occurs only on isolated islands;VU;No;100;0;0;Imputed 000 Species;PHYLACINE 1.2;111748,4218;Acerodon leucotis;2.1;Site/area management;Acerodon leucotis;2 Land/water management;VU;no
27;Acerodon_leucotis;0,103821846;1,972615081;2,076436927;1191;2785;2968;3,671025622;3,53575811;6,64E-06;8,40E-06;1,75788;90,07584723;Chiroptera;Pteropodidae;Acerodon;leucotis;0;0;0;1;Taxonomic;PHYLACINE 1.2;513,2;Assumed isometric based on forearm length;Fieldiana Zoology 69: 1-44 (1992);Acerodon_jubatus;Fieldiana Zoology 69: 1-44 (1992);Occurs only on isolated islands;VU;No;100;0;0;Imputed 000 Species;PHYLACINE 1.2;111748,4218;Acerodon leucotis;3.1;Species management;Acerodon leucotis;3 Species management;VU;no
28;Acerodon_leucotis;0,103821846;1,972615081;2,076436927;1191;2785;2968;3,671025622;3,53575811;6,64E-06;8,40E-06;1,75788;90,07584723;Chiroptera;Pteropodidae;Acerodon;leucotis;0;0;0;1;Taxonomic;PHYLACINE 1.2;513,2;Assumed isometric based on forearm length;Fieldiana Zoology 69: 1-44 (1992);Acerodon_jubatus;Fieldiana Zoology 69: 1-44 (1992);Occurs only on isolated islands;VU;No;100;0;0;Imputed 000 Species;PHYLACINE 1.2;111748,4218;Acerodon leucotis;3.1.1;Harvest management;Acerodon leucotis;3 Species management;VU;no
29;Acerodon_leucotis;0,103821846;1,972615081;2,076436927;1191;2785;2968;3,671025622;3,53575811;6,64E-06;8,40E-06;1,75788;90,07584723;Chiroptera;Pteropodidae;Acerodon;leucotis;0;0;0;1;Taxonomic;PHYLACINE 1.2;513,2;Assumed isometric based on forearm length;Fieldiana Zoology 69: 1-44 (1992);Acerodon_jubatus;Fieldiana Zoology 69: 1-44 (1992);Occurs only on isolated islands;VU;No;100;0;0;Imputed 000 Species;PHYLACINE 1.2;111748,4218;Acerodon leucotis;5.4;Compliance and enforcement;Acerodon leucotis;5 Law & policy;VU;no
30;Acerodon_leucotis;0,103821846;1,972615081;2,076436927;1191;2785;2968;3,671025622;3,53575811;6,64E-06;8,40E-06;1,75788;90,07584723;Chiroptera;Pteropodidae;Acerodon;leucotis;0;0;0;1;Taxonomic;PHYLACINE 1.2;513,2;Assumed isometric based on forearm length;Fieldiana Zoology 69: 1-44 (1992);Acerodon_jubatus;Fieldiana Zoology 69: 1-44 (1992);Occurs only on isolated islands;VU;No;100;0;0;Imputed 000 Species;PHYLACINE 1.2;111748,4218;Acerodon leucotis;5.4.2;National level;Acerodon leucotis;5 Law & policy;VU;no
