;species_phylacine;hedge;ledge;hed;hedge_rank;ledge_rank;hed_rank;ED;ES;QEbased;X2Hbased;termBL;meanD;Order.1.2;Family.1.2;Genus.1.2;Species.1.2;Terrestrial;Marine;Freshwater;Aerial;Life.Habit.Method;Life.Habit.Source;Mass.g;Mass.Method;Mass.Source;Mass.Comparison;Mass.Comparison.Source;Island.Endemicity;IUCN.Status.1.2;Added.IUCN.Status.1.2;Diet.Plant;Diet.Vertebrate;Diet.Invertebrate;Diet.Method;Diet.Source;range_size;species_currentIUCN.x;code;title;species_currentIUCN.y;conservation_classification;Imputed.Status;introduced
3070;Nycticebus_javanicus;0,60714451;0,018777665;0,625922176;671;5468;5033;8,292329135;3,884538469;8,85E-05;0,000112723;0,530005;93,17678146;Primates;Lorisidae;Nycticebus;javanicus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;CR;No;80;0;20;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;158310,2643;Nycticebus javanicus;3.1.2;Trade management;Nycticebus javanicus;3 Species management;CR;no
3071;Nycticebus_javanicus;0,60714451;0,018777665;0,625922176;671;5468;5033;8,292329135;3,884538469;8,85E-05;0,000112723;0,530005;93,17678146;Primates;Lorisidae;Nycticebus;javanicus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;CR;No;80;0;20;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;158310,2643;Nycticebus javanicus;4.1;Formal education;Nycticebus javanicus;4 Education & awareness;CR;no
3072;Nycticebus_javanicus;0,60714451;0,018777665;0,625922176;671;5468;5033;8,292329135;3,884538469;8,85E-05;0,000112723;0,530005;93,17678146;Primates;Lorisidae;Nycticebus;javanicus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;CR;No;80;0;20;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;158310,2643;Nycticebus javanicus;4.3;Awareness & communications;Nycticebus javanicus;4 Education & awareness;CR;no
3073;Nycticebus_javanicus;0,60714451;0,018777665;0,625922176;671;5468;5033;8,292329135;3,884538469;8,85E-05;0,000112723;0,530005;93,17678146;Primates;Lorisidae;Nycticebus;javanicus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;CR;No;80;0;20;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;158310,2643;Nycticebus javanicus;5.4;Compliance and enforcement;Nycticebus javanicus;5 Law & policy;CR;no
3074;Nycticebus_javanicus;0,60714451;0,018777665;0,625922176;671;5468;5033;8,292329135;3,884538469;8,85E-05;0,000112723;0,530005;93,17678146;Primates;Lorisidae;Nycticebus;javanicus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;CR;No;80;0;20;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;158310,2643;Nycticebus javanicus;5.4.2;National level;Nycticebus javanicus;5 Law & policy;CR;no
3075;Nycticebus_menagensis;0,245026252;4,655498785;4,900525037;947;1109;1191;11,06699648;12,47267513;0,000248301;0,000317159;4,88752;93,17780932;Primates;Lorisidae;Nycticebus;menagensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;VU;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;1098859,481;Nycticebus menagensis;1.1;Site/area protection;Nycticebus menagensis;1 Land/water protection;VU;no
3076;Nycticebus_menagensis;0,245026252;4,655498785;4,900525037;947;1109;1191;11,06699648;12,47267513;0,000248301;0,000317159;4,88752;93,17780932;Primates;Lorisidae;Nycticebus;menagensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;VU;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;1098859,481;Nycticebus menagensis;1.2;Resource & habitat protection;Nycticebus menagensis;1 Land/water protection;VU;no
3077;Nycticebus_menagensis;0,245026252;4,655498785;4,900525037;947;1109;1191;11,06699648;12,47267513;0,000248301;0,000317159;4,88752;93,17780932;Primates;Lorisidae;Nycticebus;menagensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;VU;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;1098859,481;Nycticebus menagensis;2.1;Site/area management;Nycticebus menagensis;2 Land/water management;VU;no
3078;Nycticebus_menagensis;0,245026252;4,655498785;4,900525037;947;1109;1191;11,06699648;12,47267513;0,000248301;0,000317159;4,88752;93,17780932;Primates;Lorisidae;Nycticebus;menagensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;VU;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;1098859,481;Nycticebus menagensis;3.1;Species management;Nycticebus menagensis;3 Species management;VU;no
3079;Nycticebus_menagensis;0,245026252;4,655498785;4,900525037;947;1109;1191;11,06699648;12,47267513;0,000248301;0,000317159;4,88752;93,17780932;Primates;Lorisidae;Nycticebus;menagensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;VU;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;1098859,481;Nycticebus menagensis;3.1.1;Harvest management;Nycticebus menagensis;3 Species management;VU;no
3080;Nycticebus_menagensis;0,245026252;4,655498785;4,900525037;947;1109;1191;11,06699648;12,47267513;0,000248301;0,000317159;4,88752;93,17780932;Primates;Lorisidae;Nycticebus;menagensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;VU;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;1098859,481;Nycticebus menagensis;3.1.2;Trade management;Nycticebus menagensis;3 Species management;VU;no
3081;Nycticebus_menagensis;0,245026252;4,655498785;4,900525037;947;1109;1191;11,06699648;12,47267513;0,000248301;0,000317159;4,88752;93,17780932;Primates;Lorisidae;Nycticebus;menagensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;VU;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;1098859,481;Nycticebus menagensis;4.1;Formal education;Nycticebus menagensis;4 Education & awareness;VU;no
3082;Nycticebus_menagensis;0,245026252;4,655498785;4,900525037;947;1109;1191;11,06699648;12,47267513;0,000248301;0,000317159;4,88752;93,17780932;Primates;Lorisidae;Nycticebus;menagensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;VU;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;1098859,481;Nycticebus menagensis;5.4;Compliance and enforcement;Nycticebus menagensis;5 Law & policy;VU;no
3083;Nycticebus_menagensis;0,245026252;4,655498785;4,900525037;947;1109;1191;11,06699648;12,47267513;0,000248301;0,000317159;4,88752;93,17780932;Primates;Lorisidae;Nycticebus;menagensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;803,5;Assumed isometric based on head-body length;Journal of Biogeography 35: 1087-1094 (2008);Nycticebus_coucang;Journal of Biogeography 35: 1087-1094 (2008);Occurs on large land bridge islands;VU;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;1098859,481;Nycticebus menagensis;5.4.2;National level;Nycticebus menagensis;5 Law & policy;VU;no
3084;Nycticebus_pygmaeus;0,491273826;9,334202701;9,825476527;729;400;429;14,60707962;20,16455275;0,000403427;0,000513772;9,82477;93,18045423;Primates;Lorisidae;Nycticebus;pygmaeus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;900;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;20;40;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;838113,1638;Nycticebus pygmaeus;1.1;Site/area protection;Nycticebus pygmaeus;1 Land/water protection;VU;no
3085;Nycticebus_pygmaeus;0,491273826;9,334202701;9,825476527;729;400;429;14,60707962;20,16455275;0,000403427;0,000513772;9,82477;93,18045423;Primates;Lorisidae;Nycticebus;pygmaeus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;900;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;20;40;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;838113,1638;Nycticebus pygmaeus;2.1;Site/area management;Nycticebus pygmaeus;2 Land/water management;VU;no
3086;Nycticebus_pygmaeus;0,491273826;9,334202701;9,825476527;729;400;429;14,60707962;20,16455275;0,000403427;0,000513772;9,82477;93,18045423;Primates;Lorisidae;Nycticebus;pygmaeus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;900;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;20;40;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;838113,1638;Nycticebus pygmaeus;3.1;Species management;Nycticebus pygmaeus;3 Species management;VU;no
3087;Nycticebus_pygmaeus;0,491273826;9,334202701;9,825476527;729;400;429;14,60707962;20,16455275;0,000403427;0,000513772;9,82477;93,18045423;Primates;Lorisidae;Nycticebus;pygmaeus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;900;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;20;40;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;838113,1638;Nycticebus pygmaeus;3.1.1;Harvest management;Nycticebus pygmaeus;3 Species management;VU;no
3088;Nycticebus_pygmaeus;0,491273826;9,334202701;9,825476527;729;400;429;14,60707962;20,16455275;0,000403427;0,000513772;9,82477;93,18045423;Primates;Lorisidae;Nycticebus;pygmaeus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;900;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;20;40;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;838113,1638;Nycticebus pygmaeus;3.1.2;Trade management;Nycticebus pygmaeus;3 Species management;VU;no
3089;Nycticebus_pygmaeus;0,491273826;9,334202701;9,825476527;729;400;429;14,60707962;20,16455275;0,000403427;0,000513772;9,82477;93,18045423;Primates;Lorisidae;Nycticebus;pygmaeus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;900;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;20;40;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;838113,1638;Nycticebus pygmaeus;4.3;Awareness & communications;Nycticebus pygmaeus;4 Education & awareness;VU;no
3090;Nycticebus_pygmaeus;0,491273826;9,334202701;9,825476527;729;400;429;14,60707962;20,16455275;0,000403427;0,000513772;9,82477;93,18045423;Primates;Lorisidae;Nycticebus;pygmaeus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;900;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;20;40;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;838113,1638;Nycticebus pygmaeus;5.4;Compliance and enforcement;Nycticebus pygmaeus;5 Law & policy;VU;no
3091;Nycticebus_pygmaeus;0,491273826;9,334202701;9,825476527;729;400;429;14,60707962;20,16455275;0,000403427;0,000513772;9,82477;93,18045423;Primates;Lorisidae;Nycticebus;pygmaeus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;900;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;20;40;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;838113,1638;Nycticebus pygmaeus;5.4.1;International level;Nycticebus pygmaeus;5 Law & policy;VU;no
3092;Nycticebus_pygmaeus;0,491273826;9,334202701;9,825476527;729;400;429;14,60707962;20,16455275;0,000403427;0,000513772;9,82477;93,18045423;Primates;Lorisidae;Nycticebus;pygmaeus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;900;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;20;40;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;838113,1638;Nycticebus pygmaeus;5.4.2;National level;Nycticebus pygmaeus;5 Law & policy;VU;no
3093;Nyctimene_minutus;0,060727539;1,153823245;1,214550784;1348;3886;4090;3,237900031;2,825375858;7,52E-06;9,46E-06;1,214515;90,16051929;Chiroptera;Pteropodidae;Nyctimene;minutus;0;0;0;1;Taxonomic;PHYLACINE 1.2;33,1;Assumed isometric based on forearm length;Records of the Western Australian Museum 16: 399-417 (1993);Nyctimene_albiventer;Records of the Western Australian Museum 16: 399-417 (1993);Occurs only on isolated islands;VU;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;102436,0534;Nyctimene minutus;2.1;Site/area management;Nyctimene minutus;2 Land/water management;VU;no
3094;Nyctimene_rabori;0,472519064;0,652526327;1,125045391;746;4693;4228;3,081449467;2,677752059;8,35E-06;1,05E-05;1,12381;90,16087944;Chiroptera;Pteropodidae;Nyctimene;rabori;0;0;0;1;Taxonomic;PHYLACINE 1.2;67,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;139685,5273;Nyctimene rabori;1.1;Site/area protection;Nyctimene rabori;1 Land/water protection;EN;no
3095;Nyctimene_rabori;0,472519064;0,652526327;1,125045391;746;4693;4228;3,081449467;2,677752059;8,35E-06;1,05E-05;1,12381;90,16087944;Chiroptera;Pteropodidae;Nyctimene;rabori;0;0;0;1;Taxonomic;PHYLACINE 1.2;67,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;139685,5273;Nyctimene rabori;2.1;Site/area management;Nyctimene rabori;2 Land/water management;EN;no
3096;Nyctimene_rabori;0,472519064;0,652526327;1,125045391;746;4693;4228;3,081449467;2,677752059;8,35E-06;1,05E-05;1,12381;90,16087944;Chiroptera;Pteropodidae;Nyctimene;rabori;0;0;0;1;Taxonomic;PHYLACINE 1.2;67,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;139685,5273;Nyctimene rabori;5.4;Compliance and enforcement;Nyctimene rabori;5 Law & policy;EN;no
3097;Nyctimene_rabori;0,472519064;0,652526327;1,125045391;746;4693;4228;3,081449467;2,677752059;8,35E-06;1,05E-05;1,12381;90,16087944;Chiroptera;Pteropodidae;Nyctimene;rabori;0;0;0;1;Taxonomic;PHYLACINE 1.2;67,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;139685,5273;Nyctimene rabori;5.4.2;National level;Nyctimene rabori;5 Law & policy;EN;no
3098;Nyctophilus_howensis;0,764838838;0,023654809;0,788493647;602;5459;4758;2,423241305;1,92834731;4,28E-08;6,39E-08;0,75383;88,37569778;Chiroptera;Vespertilionidae;Nyctophilus;howensis;0;0;0;1;Taxonomic;PHYLACINE 1.2;20,6;Assumed isometric based on forearm length;Van Dyck S, Straham R. The Mammals of Australia Third edition (2008);Nyctophilus_sherrini;Van Dyck S, Straham R. The Mammals of Australia Third edition (2008);Occurs only on isolated islands;CR;No;0;0;100;Transformed 000 Genus;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;0;Nyctophilus howensis;none;none;Nyctophilus howensis;None;CR;no
3099;Nyctophilus_nebulosus;0,6953591;0,021505952;0,716865052;635;5463;4885;2,02612621;1,534725665;3,43E-08;5,08E-08;0,64048;88,37530671;Chiroptera;Vespertilionidae;Nyctophilus;nebulosus;0;0;0;1;Taxonomic;PHYLACINE 1.2;10,5;Reported;Australian Mammalogy 23: 115-124 (2001);NA;NA;Occurs only on isolated islands;CR;No;0;0;100;Transformed 000 Genus;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;9312,368487;Nyctophilus nebulosus;2.1;Site/area management;Nyctophilus nebulosus;2 Land/water management;CR;no
3100;Ochotona_argentata;0,4128759;0,570161957;0,983037857;788;4830;4468;5,536236128;3,010473448;3,86E-05;4,77E-05;0,91467;92,41472826;Lagomorpha;Ochotonidae;Ochotona;argentata;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;206;Reported;Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008);NA;NA;Occurs on mainland;EN;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;9312,368487;Ochotona argentata;2.1;Site/area management;Ochotona argentata;2 Land/water management;EN;no
3101;Ochotona_hoffmanni;0,762062728;1,052372339;1,814435068;604;4035;3239;6,289885587;5,051426494;6,10E-05;7,76E-05;1,67487;92,41541147;Lagomorpha;Ochotonidae;Ochotona;hoffmanni;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;167,8;Imputed;PHYLACINE 1.2;NA;NA;Occurs on mainland;EN;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;37249,47395;Ochotona hoffmanni;none;none;Ochotona hoffmanni;None;EN;no
3102;Ochotona_iliensis;1,466117106;2,024637909;3,490755015;389;2735;1829;8,479275969;7,036848384;0,000110353;0,000138447;2,773575;92,44604461;Lagomorpha;Ochotonidae;Ochotona;iliensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;233,5;Reported;Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008);NA;NA;Occurs on mainland;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;158310,2643;Ochotona iliensis;3.2;Species recovery;Ochotona iliensis;3 Species management;EN;no
3103;Ochotona_koslowi;1,174450789;1,621860614;2,796311403;470;3187;2300;8,409319856;6,408894657;0,000108496;0,000137275;2,33861;92,45173365;Lagomorpha;Ochotonidae;Ochotona;koslowi;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;165;Reported;Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008);NA;NA;Occurs on mainland;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;46561,84243;Ochotona koslowi;none;none;Ochotona koslowi;None;EN;no
3104;Octodon_bridgesi;0,169705842;3,224410993;3,394116835;1045;1754;1888;6,698279057;6,175263426;3,10E-06;4,32E-06;2,84457;86,87708531;Rodentia;Octodontidae;Octodon;bridgesi;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;150;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;251433,9491;Octodon bridgesi;1.2;Resource & habitat protection;Octodon bridgesi;1 Land/water protection;VU;no
3105;Octodon_pacificus;2,287216028;0,07073864;2,357954668;228;5370;2693;6,180617272;4,823939366;2,71E-06;3,78E-06;2,341415;86,87718414;Rodentia;Octodontidae;Octodon;pacificus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;290;Reported;Zeitschrift fur Saugetierkunde 59: 27-41 (1994);NA;NA;Occurs on small land bridge islands;CR;No;100;0;0;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;9312,368487;Octodon pacificus;1.1;Site/area protection;Octodon pacificus;1 Land/water protection;CR;no
3106;Odobenus_rosmarus;0,7345;13,9555;14,69;617;141;145;15,76331331;23,27960968;0,000210549;0,000271487;14,69;93,0109398;Carnivora;Odobenidae;Odobenus;rosmarus;1;1;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;825000;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;0;20;80;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;12432011,93;Odobenus rosmarus;1.1;Site/area protection;Odobenus rosmarus;1 Land/water protection;VU;no
3107;Odobenus_rosmarus;0,7345;13,9555;14,69;617;141;145;15,76331331;23,27960968;0,000210549;0,000271487;14,69;93,0109398;Carnivora;Odobenidae;Odobenus;rosmarus;1;1;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;825000;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;0;20;80;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;12432011,93;Odobenus rosmarus;1.2;Resource & habitat protection;Odobenus rosmarus;1 Land/water protection;VU;no
